stroke_sign_vs_slider,vpp_v,freq_hz,voltage_amp_v,right_stroke_amp_rad,left_stroke_amp_rad,right_stroke_amp_deg,right_stroke_offset_deg,stroke_gain_deg_per_v,stroke_phase_deg,right_slider_amp_m,slider_phase_deg,transmission_ratio_rad_per_m,stroke_residual_ratio,measure_rows
-1.0,50.0,215.0,24.999999999999986,0.07941468675189967,0.08016249531253927,4.550126382237343,-0.10306834924603951,0.18200505528949382,-151.94958855368796,3.190279969954899e-05,-151.87411076385442,2489.2701424264765,0.183726686856847,1000
-1.0,50.0,220.0,24.99999999999999,0.07571068967034636,0.07544553374806114,4.337902982135565,-0.06900953606509011,0.17351611928542265,-154.28013082770534,3.0415024744691884e-05,-154.20846798001403,2489.2529368584387,0.18514448273775214,1000
-1.0,50.0,225.0,25.000000000000014,0.07065213529892196,0.07053058202543154,4.048069166215494,-0.10324074329249047,0.16192276664861965,-156.7506165672536,2.8377802851171357e-05,-156.6833301454028,2489.6971646980637,0.1912302229657362,1001
-1.0,50.0,230.0,25.000000000000004,0.06658896371344314,0.06619023964499718,3.815266582930078,-0.09229752500945716,0.15261066331720308,-157.62105673614371,2.6746081358871318e-05,-157.55458548484629,2489.6717698556045,0.18235631071932773,1000
-1.0,50.0,235.0,24.999999999999996,0.062200564679658225,0.06251343807904763,3.5638298394749137,-0.06820584288837135,0.14255319357899657,-158.32929271242122,2.4988286489319513e-05,-158.26397422466343,2489.1888728042227,0.1813042094019881,1001
-1.0,50.0,240.0,25.0,0.05857745130949383,0.05891718000538635,3.356240734667074,-0.0835512520653762,0.13424962938668294,-159.25855387800945,2.353210071416839e-05,-159.19514505540877,2489.2572074632103,0.18025771866011592,1000
-1.0,50.0,245.0,25.00000000000001,0.05585048238606267,0.055941689570466725,3.1999969244911344,-0.052240485058319755,0.12799987697964532,-160.58063469080707,2.2437506832632906e-05,-160.52198038526424,2489.1572313566603,0.18325398605391127,1000
-1.0,50.0,250.0,24.999999999999996,0.05361225915337977,0.05346695517587731,3.071756179650277,-0.0637631471153524,0.1228702471860111,-162.64406676445614,2.1535501706259663e-05,-162.58804986043174,2489.4827102076033,0.1770296133648133,1000
-1.0,50.0,255.0,25.000000000000007,0.050412637030873376,0.05047694628176871,2.88843133599397,-0.0700326003772917,0.11553725343975878,-163.10488324294076,2.0251981105910364e-05,-163.05040703827933,2489.269408619036,0.18287626381024014,1000
-1.0,50.0,260.0,25.0,0.048004689612881256,0.047898809962441655,2.750466111653598,-0.09230227849735796,0.11001864446614391,-164.36544570426182,1.928216540259277e-05,-164.30864906702877,2489.590178830554,0.17880760761223324,1001
